Month,Room_Type,Room_per_night_price
January,Standard,95
January,Simple,70
January,Deluxe,140
February,Standard,95
February,Simple,70
February,Deluxe,140
March,Standard,95
March,Simple,70
March,Deluxe,140
April,Standard,95
April,Simple,70
April,Deluxe,140
May,Standard,95
May,Simple,70
May,Deluxe,140
June,Standard,95
June,Simple,70
June,Deluxe,140
July,Standard,95
July,Simple,70
July,Deluxe,140
August,Standard,95
August,Simple,70
August,Deluxe,140
September,Standard,95
September,Simple,70
September,Deluxe,140
October,Standard,95
October,Simple,70
October,Deluxe,140
November,Standard,95
November,Simple,70
November,Deluxe,140
December,Standard,95
December,Simple,70
December,Deluxe,140
