Month,Room_Type,Total_Rooms,Booked_Rooms,Available_Rooms,Occupancy_Rate,Average_Stay_Days,year
January,Standard,10,8,2,80%,2.1,2024
January,Deluxe,8,7,1,87.5%,2.1,2024
January,Simple,7,5,2,71.4%,2.1,2024
February,Standard,10,7,3,70%,1.9,2024
February,Deluxe,8,6,2,75%,1.9,2024
February,Simple,7,5,2,71.4%,1.9,2024
March,Standard,10,9,1,90%,2.4,2024
March,Deluxe,8,8,0,100%,2.4,2024
March,Simple,7,5,2,71.4%,2.4,2024
April,Standard,10,8,2,80%,2.2,2024
April,Deluxe,8,7,1,87.5%,2.2,2024
April,Simple,7,6,1,85.7%,2.2,2024
May,Standard,10,9,1,90%,2.6,2024
May,Deluxe,8,8,0,100%,2.6,2024
May,Simple,7,6,1,85.7%,2.6,2024
June,Standard,10,10,0,100%,2.8,2024
June,Deluxe,8,8,0,100%,2.8,2024
June,Simple,7,6,1,85.7%,2.8,2024
July,Standard,10,10,0,100%,3.1,2024
July,Deluxe,8,8,0,100%,3.1,2024
July,Simple,7,7,0,100%,3.1,2024
August,Standard,10,9,1,90%,2.9,2024
August,Deluxe,8,8,0,100%,2.9,2024
August,Simple,7,7,0,100%,2.9,2024
September,Standard,10,8,2,80%,2.3,2024
September,Deluxe,8,7,1,87.5%,2.3,2024
September,Simple,7,7,0,100%,2.3,2024
October,Standard,10,8,2,80%,2.2,2024
October,Deluxe,8,7,1,87.5%,2.2,2024
October,Simple,7,6,1,85.7%,2.2,2024
November,Standard,10,7,3,70%,2.0,2024
November,Deluxe,8,6,2,75%,2.0,2024
November,Simple,7,6,1,85.7%,2.0,2024
December,Standard,10,9,1,90%,2.7,2024
December,Deluxe,8,7,1,87.5%,2.7,2024
December,Simple,7,7,0,100%,2.7,2024
