Hotel_Name,Month,Room_price,year
Raj_Mahal,January,120,2025
Raj_Mahal,February,115,2025
Raj_Mahal,March,130,2025
Raj_Mahal,April,125,2025
Raj_Mahal,May,140,2025
Raj_Mahal,June,150,2025
Raj_Mahal,July,155,2025
Raj_Mahal,August,160,2025
Raj_Mahal,September,145,2025
Raj_Mahal,October,135,2025
Raj_Mahal,November,130,2025
Raj_Mahal,December,140,2025
Greenplace,January,100,2025
Greenplace,February,105,2025
Greenplace,March,110,2025
Greenplace,April,115,2025
Greenplace,May,120,2025
Greenplace,June,130,2025
Greenplace,July,135,2025
Greenplace,August,140,2025
Greenplace,September,125,2025
Greenplace,October,115,2025
Greenplace,November,110,2025
Greenplace,December,120,2025


