Month,Room_Type,Room_per_night_price
January,Standard,85
January,Simple,60
January,Deluxe,120
February,Standard,85
February,Simple,60
February,Deluxe,120
March,Standard,85
March,Simple,60
March,Deluxe,120
April,Standard,85
April,Simple,60
April,Deluxe,120
May,Standard,85
May,Simple,60
May,Deluxe,120
June,Standard,85
June,Simple,60
June,Deluxe,120
July,Standard,85
July,Simple,60
July,Deluxe,120
August,Standard,85
August,Simple,60
August,Deluxe,120
September,Standard,85
September,Simple,60
September,Deluxe,120
October,Standard,85
October,Simple,60
October,Deluxe,120
November,Standard,85
November,Simple,60
November,Deluxe,120
December,Standard,85
December,Simple,60
December,Deluxe,120
