year,Month,Monthly_Revenue,Revenue_per_Room,year,Room_Type
2024,January,35000,120,2024,Standard
2024,January,24000,130,2024,Deluxe
2024,January,11000,150,2024,Simple
2024,February,30000,125,2024,Standard
2024,February,25000,115,2024,Deluxe
2024,February,10000,155,2024,Simple
2024,March,40000,130,2024,Standard
2024,March,30000,130,2024,Deluxe
2024,March,8000,130,2024,Simple
2024,April,35000,125,2024,Standard
2024,April,28000,125,2024,Deluxe
2024,April,12000,125,2024,Simple
2024,May,40000,135,2024,Standard
2024,May,30000,135,2024,Deluxe
2024,May,12000,135,2024,Simple
2024,June,45000,140,2024,Standard
2024,June,35000,140,2024,Deluxe
2024,June,8000,140,2024,Simple
2024,July,50000,150,2024,Standard
2024,July,35000,150,2024,Deluxe
2024,July,10000,150,2024,Simple
2024,August,45000,145,2024,Standard
2024,August,35000,145,2024,Deluxe
2024,August,12000,145,2024,Simple
2024,September,40000,130,2024,Standard
2024,September,30000,130,2024,Deluxe
2024,September,8000,130,2024,Simple
2024,October,38000,125,2024,Standard
2024,October,30000,125,2024,Deluxe
2024,October,8000,125,2024,Simple
2024,November,35000,120,2024,Standard
2024,November,25000,120,2024,Deluxe
2024,November,8000,120,2024,Simple
2024,December,50000,140,2024,Standard
2024,December,30000,140,2024,Deluxe
2024,December,10000,140,2024,Simple

