Month,Revenue_Actual,Profit_Actual,Revenue_Predicted,Profit_Predicted,Profit_Difference,Revenue_Difference
January,4389.0,1008.0,5018.476244071273,1534.8402098652557,526.8402098652557,629.476244071273
February,3524.5,788.5,3802.8775540243105,990.2585455550466,201.75854555504657,278.3775540243105
March,5580.0,1308.0,6241.322659616078,1878.0636267181878,570.0636267181878,661.3226596160785
April,4752.0,1056.0,5360.779199683771,1559.763288140136,503.76328814013596,608.7791996837714
May,6227.0,1417.0,7143.552304565491,2163.266286243002,746.266286243002,916.5523045654909
June,6972.0,1596.0,7900.687645086204,2372.8986051585557,776.8986051585557,928.6876450862037
July,7936.0,1767.0,9068.907658509528,2771.3013535637456,1004.3013535637456,1132.9076585095281
August,7148.5,1580.5,7781.946988502913,2070.4163754901765,489.9163754901765,633.446988502913
September,5129.0,1104.0,5642.757618684705,1456.910121721731,352.910121721731,513.7576186847054
October,4752.0,1056.0,5300.450437427475,1510.716815072683,454.71681507268295,548.4504374274748
November,3850.0,830.0,4345.5737745263505,1207.5507051304096,377.5507051304096,495.57377452635046
December,6277.5,1363.5,7044.035348376489,1942.5617397090793,579.0617397090793,766.5353483764893
