Room_Type,Month,Predicted_Occupancy_Rate
Standard,January,87.66
Deluxe,January,94.48
Simple,January,68.76
Standard,February,82.72
Deluxe,February,79.31
Simple,February,71.57
Standard,March,94.55
Deluxe,March,93.57
Simple,March,77.93
Standard,April,90.62
Deluxe,April,97.06
Simple,April,81.6
Standard,May,95.85
Deluxe,May,100.0
Simple,May,100.0
Standard,June,100.0
Deluxe,June,100.0
Simple,June,100.0
Standard,July,100.0
Deluxe,July,100.0
Simple,July,100.0
Standard,August,100.0
Deluxe,August,100.0
Simple,August,100.0
Standard,September,91.91
Deluxe,September,92.76
Simple,September,100.0
Standard,October,85.18
Deluxe,October,93.71
Simple,October,80.89
Standard,November,84.03
Deluxe,November,80.54
Simple,November,79.95
Standard,December,97.87
Deluxe,December,96.43
Simple,December,100.0
