Month,Room_Type,Room_per_night_price
January,Standard,101.90606301490158
January,Deluxe,153.57761221244778
January,Simple,79.03024982035248
February,Standard,107.26585089375033
February,Deluxe,149.96401776251153
February,Simple,77.52260663300831
March,Standard,104.04815282158101
March,Deluxe,154.42897008957578
March,Simple,76.61906151830308
April,Standard,102.75174260879622
April,Deluxe,148.16646848162202
April,Simple,77.33326411067998
May,Standard,99.9952217288547
May,Deluxe,159.40980642990732
May,Simple,76.11470397850776
June,Standard,107.83753304453514
June,Deluxe,150.75904000823908
June,Simple,74.17429517020598
July,Standard,100.78236782557835
July,Deluxe,147.78650736858262
July,Simple,79.23442081894248
August,Standard,99.84638411658166
August,Deluxe,149.09182813261825
August,Simple,79.33178308835934
September,Standard,108.76793283360198
September,Deluxe,151.4627818027043
September,Simple,74.70822764893151
October,Standard,106.31278337570481
October,Deluxe,159.74408825316007
October,Simple,76.07492773028322
November,Standard,104.26832521100023
November,Deluxe,156.6411018736569
November,Simple,73.65490797220443
December,Standard,100.48822903571627
December,Deluxe,155.49406253807982
December,Simple,77.25562419350877
